Date,Campaign Name,Campaign ID,Landing Page URL,Traffic Source,UTM Source,UTM Medium,Device Type,Creative ID,Creative Name,Creative Type,Creative Link,Sessions,Users,New Users,Bounce Rate (%),Engagement Rate (%),Average Time on Page,Scroll Depth (%),Clicks on Primary CTA,Form Views,Form Starters,Form Completions,Form Abandonment Rate (%),Primary Conversion Count,Primary Conversion Rate (%),Secondary Conversions,Cost per Session,Cost per Conversion,Total Spend,Lead-to-SQL Rate (%),SQL-to-Opportunity Rate (%),Opportunity-to-Close Rate (%),Customer Acquisition Cost (CAC)
5/25/2024,Holiday Sale Campaign,GOOG-2024-HOL-011,https://company.com/holiday-sale,Google Paid Search,google,cpc,Mobile,CRT-011-HERO,Holiday Hero Banner,Image,https://assets.company.com/holiday-hero.jpg,3456,2789,2234,41.2,58.8,2:45,68.7,612,1456,934,389,58.3,389,11.3,145,4.87,43.29,16833,26.5,41.7,20.3,234.56
5/26/2024,Webinar Registration Drive,META-2024-WEB-012,https://company.com/webinar-signup,Meta Ads,facebook,social,Desktop,CRT-012-VID,Webinar Promo Video,Video,https://assets.company.com/webinar-promo.mp4,2145,1834,1456,37.8,62.2,3:34,74.9,456,1023,723,298,58.8,298,13.9,89,7.23,52.14,15519,32.5,47.3,24.8,297.83
5/27/2024,Mobile App Download,GOOG-2024-APP-013,https://company.com/app-download,Google Display,google,display,Mobile,CRT-013-BAN,App Store Banner,Image,https://assets.company.com/app-banner.jpg,5234,4567,3789,58.9,41.1,1:23,34.5,743,1789,1234,456,63,456,8.7,234,2.34,27.89,12248,19.7,36.8,15.4,268.95
5/28/2024,Content Marketing Hub,LNKD-2024-CON-014,https://company.com/content-hub,LinkedIn Ads,linkedin,cpc,Desktop,CRT-014-CAR,Content Preview Carousel,Carousel,https://assets.company.com/content-carousel.jpg,1456,1234,987,33.7,66.3,5:12,81.4,298,634,456,201,55.9,201,13.8,67,9.87,71.64,14372,34.8,51.2,28.4,358.71
5/29/2024,Flash Sale Promotion,EMAIL-2024-FLS-015,https://company.com/flash-sale,Email Campaign,mailchimp,email,Mobile,CRT-015-TXT,Flash Sale Text,Text Ad,N/A,4567,3987,3234,31.2,68.8,1:56,48.3,1234,2456,1789,823,54,823,18,356,1.67,9.27,7627,17.8,32.4,14.6,92.73
5/30/2024,Influencer Partnership,INSTA-2024-INF-016,https://company.com/influencer-collab,Instagram Ads,instagram,social,Mobile,CRT-016-VID,Influencer Story Video,Video,https://assets.company.com/influencer-vid.mp4,3789,3245,2678,46.3,53.7,2:12,62.5,567,1345,892,345,61.3,345,9.1,123,5.34,58.67,20241,23.5,39.7,17.4,293.37
5/31/2024,Local Service Campaign,GOOG-2024-LOC-017,https://company.com/local-services,Google Paid Search,google,cpc,Desktop,CRT-017-IMG,Local Business Image,Image,https://assets.company.com/local-business.jpg,2234,1897,1534,39.8,60.2,3:45,73.6,445,987,634,267,57.9,267,12,89,6.45,53.93,14409,29.6,45.3,22.1,269.85
6/1/2024,Premium Upgrade Push,META-2024-UPG-018,https://company.com/premium-upgrade,Meta Ads,facebook,social,Tablet,CRT-018-CAR,Feature Comparison Carousel,Carousel,https://assets.company.com/premium-carousel.jpg,1678,1345,1023,42.5,57.5,3:23,69.8,334,745,523,234,55.3,234,13.9,78,8.23,59.07,13814,31.2,46.8,23.5,295.57
6/2/2024,Customer Success Stories,YT-2024-SUC-019,https://company.com/success-stories,YouTube Ads,youtube,video,Mobile,CRT-019-VID,Testimonial Video,Video,https://assets.company.com/testimonial-vid.mp4,3456,2987,2345,43.7,56.3,4:12,76.4,612,1234,823,356,56.7,356,10.3,134,6.78,65.84,23447,27.8,43.2,19.9,329.42
6/3/2024,Partnership Announcement,TW-2024-PAR-020,https://company.com/partnership,Twitter Ads,twitter,social,Desktop,CRT-020-IMG,Partnership Graphic,Image,https://assets.company.com/partnership.jpg,1789,1456,1189,48.3,51.7,2:34,56.7,289,634,423,156,63.1,156,8.7,67,4.12,47.12,7370,21.8,37.8,16,236.54
6/4/2024,Seasonal Product Launch,PIN-2024-SEA-021,https://company.com/seasonal-launch,Pinterest Ads,pinterest,social,Mobile,CRT-021-PIN,Seasonal Collection Pin,Image,https://assets.company.com/seasonal-pin.jpg,2345,1987,1634,41.8,58.2,2:45,67.3,456,1023,723,289,60,289,12.3,98,5.67,46.02,13295,25.3,41.5,19.7,230.26
6/5/2024,Tech Tutorial Series,GOOG-2024-TUT-022,https://company.com/tech-tutorials,Google Display,google,display,Desktop,CRT-022-BAN,Tutorial Preview Banner,Image,https://assets.company.com/tutorial-banner.jpg,1567,1234,987,36.9,63.1,4:56,82.5,312,723,534,245,54.1,245,15.6,89,7.89,50.58,12297,33.5,49.7,26.1,251.01
6/6/2024,Early Bird Special,EMAIL-2024-EAR-023,https://company.com/early-bird,Email Campaign,mailchimp,email,Mobile,CRT-023-TXT,Early Bird CTA,Text Ad,N/A,4234,3789,3123,29.7,70.3,1:34,43.8,1123,2345,1678,734,56.3,734,17.3,267,1.78,10.34,7537,16.9,31.8,13.7,102.67
6/7/2024,Brand Storytelling Campaign,LNKD-2024-STO-024,https://company.com/our-story,LinkedIn Ads,linkedin,cpc,Desktop,CRT-024-VID,Brand Story Video,Video,https://assets.company.com/brand-video.mp4,1345,1123,934,34.2,65.8,5:23,84.7,267,634,456,198,56.6,198,14.7,67,10.23,69.54,13759,35.9,52.3,29.3,347.27
6/8/2024,Mobile Gaming Promotion,TT-2024-GAM-025,https://company.com/mobile-gaming,TikTok Ads,tiktok,video,Mobile,CRT-025-VID,Gaming Challenge Video,Video,https://assets.company.com/gaming-vid.mp4,7234,5789,5123,64.7,35.3,0:52,28.9,634,1456,934,267,71.4,267,3.7,345,2.12,57.23,15336,14.2,27.3,9.8,287.64
6/9/2024,Enterprise Solutions,BING-2024-ENT-026,https://company.com/enterprise,Bing Ads,bing,cpc,Desktop,CRT-026-TXT,Enterprise Text Ad,Text Ad,N/A,1123,945,789,40.5,59.5,3:56,77.8,223,534,367,156,57.5,156,13.9,45,4.23,30.45,4750,32.1,47.6,26.3,152.24
6/10/2024,Customer Feedback Survey,META-2024-SUR-027,https://company.com/feedback-survey,Meta Ads,facebook,social,Tablet,CRT-027-IMG,Survey Invitation Image,Image,https://assets.company.com/survey-img.jpg,2456,2123,1789,33.8,66.2,2:23,61.4,534,1234,867,423,51.2,423,17.2,156,6.78,39.42,16658,28.4,44.1,21.6,196.71
6/11/2024,Product Demo Webinar,YT-2024-DEM-028,https://company.com/product-demo,YouTube Ads,youtube,video,Mobile,CRT-028-VID,Demo Preview Video,Video,https://assets.company.com/demo-preview.mp4,3987,3345,2789,44.9,55.1,3:34,71.2,723,1567,1123,467,58.4,467,11.7,189,6.34,54.12,25289,26.8,42.5,18.9,270.6
6/12/2024,Industry Report Launch,TW-2024-REP-029,https://company.com/industry-report,Twitter Ads,twitter,social,Desktop,CRT-029-IMG,Report Cover Image,Image,https://assets.company.com/report-cover.jpg,1678,1456,1234,46.7,53.3,2:45,58.9,334,723,523,198,62.1,198,11.8,78,3.89,32.96,6527,24.2,38.9,17.2,164.68
6/13/2024,Summer Event Promotion,PIN-2024-EVE-030,https://company.com/summer-event,Pinterest Ads,pinterest,social,Mobile,CRT-030-PIN,Event Announcement Pin,Image,https://assets.company.com/event-pin.jpg,2789,2345,1987,40.3,59.7,2:56,68.4,567,1345,934,378,59.5,378,13.5,134,5.23,38.67,14584,27.5,43.7,20.8,193.33
6/14/2024,Competitor Analysis Tool,GOOG-2024-COM-031,https://company.com/competitor-tool,Google Paid Search,google,cpc,Desktop,CRT-031-HERO,Tool Preview Hero,Image,https://assets.company.com/tool-hero.jpg,2123,1789,1456,38.7,61.3,4:12,75.6,445,987,723,289,60,289,13.6,98,7.23,52.87,15284,30.8,46.4,23.1,264.36
6/15/2024,Mobile App Update,GOOG-2024-UPD-032,https://company.com/app-update,Google Display,google,display,Mobile,CRT-032-BAN,Update Features Banner,Image,https://assets.company.com/update-banner.jpg,4567,3987,3345,56.3,43.7,1:45,38.9,823,1789,1234,445,63.9,445,9.7,223,2.89,29.81,13200,21.3,37.6,16.4,148.31
6/16/2024,Thought Leadership Article,LNKD-2024-THO-033,https://company.com/thought-leadership,LinkedIn Ads,linkedin,cpc,Desktop,CRT-033-IMG,Article Preview Image,Image,https://assets.company.com/article-preview.jpg,1456,1234,1023,35.4,64.6,4:45,80.3,289,634,467,201,57,201,13.8,67,8.95,64.93,13045,34.3,50.7,27.9,325.37
6/17/2024,Customer Onboarding Flow,EMAIL-2024-ONB-034,https://company.com/onboarding,Email Campaign,mailchimp,email,Mobile,CRT-034-TXT,Onboarding Welcome,Text Ad,N/A,3789,3345,2789,27.9,72.1,2:12,51.6,1023,2123,1567,734,53.1,734,19.4,289,1.89,9.73,7161,18.6,33.2,15.1,97.57
6/18/2024,Social Proof Campaign,INSTA-2024-PRO-035,https://company.com/social-proof,Instagram Ads,instagram,social,Mobile,CRT-035-VID,Customer Reviews Video,Video,https://assets.company.com/reviews-vid.mp4,3456,2987,2456,47.8,52.2,2:34,64.7,634,1456,1023,423,58.7,423,12.2,156,5.67,46.34,19593,25.9,41.3,19.6,231.7
6/19/2024,Feature Announcement,YT-2024-FEA-036,https://company.com/new-feature,YouTube Ads,youtube,video,Desktop,CRT-036-VID,Feature Demo Video,Video,https://assets.company.com/feature-demo.mp4,2789,2345,1987,42.1,57.9,3:56,73.4,567,1234,867,345,60.2,345,12.4,123,7.12,57.95,19854,28.1,43.8,20.3,287.48
6/20/2024,Partnership Benefits,TW-2024-BEN-037,https://company.com/partnership-benefits,Twitter Ads,twitter,social,Tablet,CRT-037-IMG,Benefits Infographic,Image,https://assets.company.com/benefits-info.jpg,1789,1456,1234,49.2,50.8,2:23,55.7,334,723,534,189,64.6,189,10.6,67,4.12,38.89,7367,22.8,38.5,17.9,195.44
6/21/2024,Seasonal Marketing Guide,PIN-2024-GUI-038,https://company.com/marketing-guide,Pinterest Ads,pinterest,social,Desktop,CRT-038-PIN,Guide Cover Pin,Image,https://assets.company.com/guide-pin.jpg,2234,1897,1567,39.6,60.4,3:12,70.8,456,1023,734,298,59.4,298,13.3,89,5.89,44.23,13170,29.5,45,22.8,220.77
6/22/2024,API Documentation,GOOG-2024-API-039,https://company.com/api-docs,Google Paid Search,google,cpc,Desktop,CRT-039-TXT,API Features Text,Text Ad,N/A,1567,1234,1023,37.2,62.8,5:34,85.6,312,723,534,234,56.2,234,14.9,78,8.23,54.95,12896,33.7,49.3,26.8,275.62
6/23/2024,User Experience Survey,META-2024-UX-040,https://company.com/ux-survey,Meta Ads,facebook,social,Mobile,CRT-040-VID,UX Survey Video,Video,https://assets.company.com/ux-survey.mp4,2345,1987,1634,35.9,64.1,2:45,63.8,467,1123,823,334,59.4,334,14.2,123,6.78,47.84,15904,30.5,46.7,24.1,238.02
6/24/2024,Automation Showcase,BING-2024-AUT-041,https://company.com/automation,Bing Ads,bing,cpc,Desktop,CRT-041-IMG,Automation Demo Image,Image,https://assets.company.com/automation-demo.jpg,1345,1123,934,41.8,58.2,4:23,78.9,267,634,456,198,56.6,198,14.7,56,7.89,53.63,10613,32.3,48,25.8,268.23
6/25/2024,Community Building,TT-2024-COM-042,https://company.com/community,TikTok Ads,tiktok,video,Mobile,CRT-042-VID,Community Challenge,Video,https://assets.company.com/community-vid.mp4,6234,4987,4345,63.4,36.6,0:58,31.2,567,1345,867,234,73,234,3.8,289,2.34,62.18,14588,13.7,26.4,10.3,311.09
6/26/2024,Product Comparison,EMAIL-2024-CMP-043,https://company.com/product-compare,Email Campaign,mailchimp,email,Tablet,CRT-043-TXT,Comparison Table,Text Ad,N/A,3567,3123,2634,30.2,69.8,2:34,54.7,934,2234,1634,723,55.7,723,20.3,267,2.12,10.47,7563,19.3,34.5,16.2,104.42
6/27/2024,Industry Benchmark Report,LNKD-2024-BEN-044,https://company.com/benchmark-report,LinkedIn Ads,linkedin,cpc,Desktop,CRT-044-CAR,Benchmark Data Carousel,Carousel,https://assets.company.com/benchmark-carousel.jpg,1678,1345,1123,36.1,63.9,4:56,82.1,334,734,523,223,57.4,223,13.3,78,9.23,69.28,15472,35.2,51.6,28.7,347.09
6/28/2024,Mobile Optimization Tips,YT-2024-OPT-045,https://company.com/mobile-optimization,YouTube Ads,youtube,video,Mobile,CRT-045-VID,Optimization Tips Video,Video,https://assets.company.com/optimization-vid.mp4,4123,3567,2987,46.3,53.7,3:23,68.9,734,1567,1123,456,59.4,456,11.1,178,6.45,58.12,26594,27.4,42.6,19.7,291.56
6/29/2024,Customer Support Innovation,TW-2024-SUP-046,https://company.com/support-innovation,Twitter Ads,twitter,social,Desktop,CRT-046-IMG,Support Features Image,Image,https://assets.company.com/support-features.jpg,1987,1634,1345,47.6,52.4,2:56,59.8,389,823,634,223,64.8,223,11.2,89,4.23,37.76,8409,23.8,39.2,18.4,188.84
6/30/2024,End of Quarter Push,PIN-2024-EOQ-047,https://company.com/q2-special,Pinterest Ads,pinterest,social,Mobile,CRT-047-PIN,Q2 Special Offer Pin,Image,https://assets.company.com/q2-pin.jpg,2567,2123,1789,38.9,61.1,3:12,71.6,534,1234,867,356,58.9,356,13.9,134,5.67,40.84,14552,28.7,44.3,21.9,204.21
7/1/2024,Summer Content Series,GOOG-2024-SCS-048,https://company.com/summer-content,Google Display,google,display,Desktop,CRT-048-BAN,Content Series Banner,Image,https://assets.company.com/content-banner.jpg,3234,2789,2345,43.2,56.8,3:45,74.3,634,1456,1023,423,58.7,423,13.1,156,5.89,45.02,19047,29.1,45.6,22.4,225.59
7/2/2024,Referral Program Launch,META-2024-REF-049,https://company.com/referral-program,Meta Ads,facebook,social,Mobile,CRT-049-VID,Referral Explainer Video,Video,https://assets.company.com/referral-vid.mp4,2789,2345,1987,41.5,58.5,2:56,66.4,567,1345,934,378,59.5,378,13.5,145,6.78,50.13,18930,26.7,42.8,20.1,251.32
7/3/2024,Holiday Weekend Special,EMAIL-2024-HOL-050,https://company.com/holiday-weekend,Email Campaign,mailchimp,email,Tablet,CRT-050-TXT,Holiday Special Text,Text Ad,N/A,4567,3987,3345,28.9,71.1,1:56,47.3,1234,2567,1876,823,56.1,823,18,334,1.78,9.89,8130,17.4,32.1,14.8,98.79
7/4/2024,Independence Day Promo,INSTA-2024-IND-051,https://company.com/july-4th-promo,Instagram Ads,instagram,social,Mobile,CRT-051-IMG,July 4th Patriotic Image,Image,https://assets.company.com/july4-img.jpg,3789,3234,2678,44.7,55.3,2:23,62.1,723,1678,1189,467,60.7,467,12.3,189,5.45,40.89,20652,24.6,40.5,18.2,221.25
7/5/2024,Mid-Year Review Campaign,YT-2024-MYR-052,https://company.com/mid-year-review,YouTube Ads,youtube,video,Desktop,CRT-052-VID,Year Review Video,Video,https://assets.company.com/year-review.mp4,2567,2123,1789,41.9,58.1,4:12,76.8,534,1234,867,334,61.5,334,13,123,7.23,55.61,18565,28.4,44.1,21.3,278.19
7/6/2024,Productivity Tools Showcase,TW-2024-PRO-053,https://company.com/productivity-tools,Twitter Ads,twitter,social,Tablet,CRT-053-IMG,Tools Preview Image,Image,https://assets.company.com/tools-preview.jpg,1789,1456,1234,48.3,51.7,2:45,57.9,356,823,634,223,64.8,223,12.5,78,4.56,36.52,8157,25.1,40.3,19,183.04
7/7/2024,Customer Journey Mapping,PIN-2024-CJM-054,https://company.com/customer-journey,Pinterest Ads,pinterest,social,Desktop,CRT-054-PIN,Journey Map Pin,Image,https://assets.company.com/journey-pin.jpg,2234,1897,1567,37.4,62.6,3:34,72.5,467,1023,734,298,59.4,298,13.3,98,6.12,45.83,13675,30.2,46.8,23.4,229.08
7/8/2024,API Integration Guide,GOOG-2024-API-055,https://company.com/api-integration,Google Paid Search,google,cpc,Desktop,CRT-055-TXT,API Guide Text Ad,Text Ad,N/A,1456,1234,1023,36.8,63.2,5:23,84.7,289,634,467,201,57,201,13.8,67,8.67,62.94,12623,34.8,51.2,27.9,314.18
7/9/2024,User Onboarding Optimization,META-2024-UOO-056,https://company.com/onboarding-optimized,Meta Ads,facebook,social,Mobile,CRT-056-VID,Onboarding Flow Video,Video,https://assets.company.com/onboarding-flow.mp4,3123,2678,2234,33.7,66.3,2:56,65.4,634,1456,1023,423,58.7,423,13.5,156,6.89,50.79,21518,27.8,43.5,20.7,254.49
7/10/2024,Competitive Analysis Report,BING-2024-CAR-057,https://company.com/competitive-analysis,Bing Ads,bing,cpc,Desktop,CRT-057-IMG,Analysis Chart Image,Image,https://assets.company.com/analysis-chart.jpg,1234,1023,867,39.7,60.3,4:34,79.6,245,567,423,178,57.9,178,14.4,56,7.89,54.72,9741,32.6,48.3,25.1,273.71
7/11/2024,Social Media Best Practices,TT-2024-SMP-058,https://company.com/social-best-practices,TikTok Ads,tiktok,video,Mobile,CRT-058-VID,Best Practices Video,Video,https://assets.company.com/best-practices.mp4,5678,4567,3987,61.8,38.2,1:12,35.6,634,1456,934,289,69.1,289,5.1,345,2.67,52.35,15159,15.9,28.7,11.8,262.37
7/12/2024,Enterprise Security Features,EMAIL-2024-SEC-059,https://company.com/enterprise-security,Email Campaign,mailchimp,email,Desktop,CRT-059-TXT,Security Features Text,Text Ad,N/A,2789,2456,2123,31.5,68.5,2:34,56.9,734,1678,1234,567,54,567,20.3,223,2.34,11.53,6527,20.5,35.7,17.2,115.37
7/13/2024,Product Roadmap Preview,LNKD-2024-PRP-060,https://company.com/product-roadmap,LinkedIn Ads,linkedin,cpc,Desktop,CRT-060-CAR,Roadmap Timeline Carousel,Carousel,https://assets.company.com/roadmap-carousel.jpg,1567,1345,1123,35.2,64.8,4:45,81.3,312,734,523,234,55.3,234,14.9,78,9.45,63.12,14808,36.3,52.7,29.1,316.51
7/14/2024,Mobile Performance Analytics,YT-2024-MPA-061,https://company.com/mobile-analytics,YouTube Ads,youtube,video,Mobile,CRT-061-VID,Analytics Dashboard Video,Video,https://assets.company.com/analytics-vid.mp4,3987,3345,2789,45.6,54.4,3:45,70.8,723,1567,1123,445,60.4,445,11.2,178,6.78,60.62,27030,26.1,41.7,18.9,303.71
7/15/2024,Customer Retention Strategies,TW-2024-CRS-062,https://company.com/retention-strategies,Twitter Ads,twitter,social,Tablet,CRT-062-IMG,Retention Infographic,Image,https://assets.company.com/retention-info.jpg,1876,1567,1234,46.9,53.1,2:56,59.7,378,823,634,223,64.8,223,11.9,89,4.67,37.21,8759,24.7,39.9,18.6,196.41
7/16/2024,Summer Training Workshop,PIN-2024-STW-063,https://company.com/summer-workshop,Pinterest Ads,pinterest,social,Mobile,CRT-063-PIN,Workshop Schedule Pin,Image,https://assets.company.com/workshop-pin.jpg,2456,2123,1789,38.4,61.6,3:23,73.2,534,1234,867,356,58.9,356,14.5,134,5.89,40.48,14472,29.8,45.8,22.7,203.02
7/17/2024,API Documentation Update,GOOG-2024-ADU-064,https://company.com/api-docs-v2,Google Display,google,display,Desktop,CRT-064-BAN,API Update Banner,Image,https://assets.company.com/api-banner.jpg,1789,1456,1234,40.2,59.8,4:56,83.4,356,823,634,267,57.9,267,14.9,89,7.23,48.42,12930,33.5,49.6,26.8,242.32
7/18/2024,User Experience Research,META-2024-UXR-065,https://company.com/ux-research,Meta Ads,facebook,social,Mobile,CRT-065-VID,UX Research Video,Video,https://assets.company.com/ux-research.mp4,2678,2234,1876,36.7,63.3,3:12,67.8,567,1345,934,378,59.5,378,14.1,145,7.12,50.26,18999,28.6,44.4,21.2,251.57
7/19/2024,Automation Success Stories,BING-2024-ASS-066,https://company.com/automation-success,Bing Ads,bing,cpc,Desktop,CRT-066-TXT,Success Stories Text,Text Ad,N/A,1345,1123,934,38.9,61.1,4:23,78.6,267,634,456,198,56.6,198,14.7,67,8.23,55.67,11069,33.1,49,26.3,279.14
7/20/2024,Community Engagement Drive,TT-2024-CED-067,https://company.com/community-engagement,TikTok Ads,tiktok,video,Mobile,CRT-067-VID,Community Highlights Video,Video,https://assets.company.com/community-highlights.mp4,6123,4897,4234,62.7,37.3,1:05,32.8,578,1378,889,267,70,267,4.4,334,2.45,56.31,15001,14.6,27.8,11.2,281.27
7/21/2024,Product Feature Comparison,EMAIL-2024-PFC-068,https://company.com/feature-comparison,Email Campaign,mailchimp,email,Tablet,CRT-068-TXT,Feature Chart Text,Text Ad,N/A,3456,3123,2634,29.8,70.2,2:45,55.3,934,2234,1634,723,55.7,723,20.9,289,2.23,10.98,7708,19.7,34.9,16.8,106.58
7/22/2024,Industry Trends Analysis,LNKD-2024-ITA-069,https://company.com/industry-trends,LinkedIn Ads,linkedin,cpc,Desktop,CRT-069-IMG,Trends Chart Image,Image,https://assets.company.com/trends-chart.jpg,1678,1345,1123,34.7,65.3,5:12,85.9,334,734,523,234,55.3,234,13.9,78,9.67,69.83,16230,36.8,53.4,29.9,346.79
7/23/2024,Mobile App Performance,YT-2024-MAP-070,https://company.com/app-performance,YouTube Ads,youtube,video,Mobile,CRT-070-VID,App Performance Video,Video,https://assets.company.com/app-performance.mp4,4234,3567,2987,47.1,52.9,3:34,69.7,734,1567,1123,456,59.4,456,10.8,189,6.89,63.82,29155,25.9,41.2,18.4,319.81
7/24/2024,Customer Support Excellence,TW-2024-CSE-071,https://company.com/support-excellence,Twitter Ads,twitter,social,Desktop,CRT-071-IMG,Support Team Image,Image,https://assets.company.com/support-team.jpg,1987,1634,1345,47.3,52.7,2:56,58.4,389,823,634,234,63.1,234,11.8,89,4.45,37.89,8869,24.8,40.1,19.2,189.44
7/25/2024,End of July Promotion,PIN-2024-EJP-072,https://company.com/july-end-promo,Pinterest Ads,pinterest,social,Mobile,CRT-072-PIN,July End Sale Pin,Image,https://assets.company.com/july-end-pin.jpg,2789,2345,1987,39.6,60.4,3:12,70.5,567,1345,934,378,59.5,378,13.5,145,5.78,43.02,16119,28.1,43.9,21.4,213.49
7/26/2024,Back to School Campaign,GOOG-2024-BTS-073,https://company.com/back-to-school,Google Paid Search,google,cpc,Desktop,CRT-073-HERO,Back to School Hero,Image,https://assets.company.com/bts-hero.jpg,3567,2987,2456,42.8,57.2,2:56,68.9,723,1678,1189,467,60.7,467,13.1,178,5.67,43.46,20225,27.3,42.7,20.8,216.73
7/27/2024,Partnership Success Stories,META-2024-PSS-074,https://company.com/partnership-success,Meta Ads,facebook,social,Tablet,CRT-074-VID,Partnership Video,Video,https://assets.company.com/partnership-vid.mp4,2345,1987,1634,40.7,59.3,3:23,66.8,467,1123,823,334,59.4,334,14.2,123,7.23,50.89,16955,29.9,45.5,22.8,254.19
7/28/2024,Technical Documentation,BING-2024-TEC-075,https://company.com/technical-docs,Bing Ads,bing,cpc,Desktop,CRT-075-TXT,Tech Docs Text Ad,Text Ad,N/A,1456,1234,1023,37.6,62.4,5:34,86.2,289,634,467,201,57,201,13.8,78,8.45,61.39,12303,35.3,51.7,28.4,306.47
7/29/2024,Summer Webinar Series,EMAIL-2024-SWS-076,https://company.com/summer-webinars,Email Campaign,mailchimp,email,Mobile,CRT-076-TXT,Webinar Series Text,Text Ad,N/A,4123,3678,3123,28.7,71.3,2:12,52.6,1123,2456,1789,789,55.9,789,19.1,334,1.89,9.87,7792,18.2,33.5,15.4,98.64
7/30/2024,User Interface Redesign,INSTA-2024-UIR-077,https://company.com/ui-redesign,Instagram Ads,instagram,social,Mobile,CRT-077-VID,UI Redesign Video,Video,https://assets.company.com/ui-redesign.mp4,3789,3234,2678,43.9,56.1,2:45,63.7,723,1678,1189,467,60.7,467,12.3,189,5.89,50.26,22320,25.7,41.6,19.4,238.76
7/31/2024,Monthly Performance Review,YT-2024-MPR-078,https://company.com/monthly-review,YouTube Ads,youtube,video,Desktop,CRT-078-VID,Performance Review Video,Video,https://assets.company.com/performance-review.mp4,2987,2456,2123,44.2,55.8,4:12,75.3,634,1456,1023,423,58.7,423,14.2,156,7.12,50.13,21209,28.4,44.1,21,250.73
